county,performance_rank
Bedfordshire,18.0
Cardiff (Wales),18.0
Dorset,15.333333333333334
East Riding of Yorkshire,19.0
East Sussex,12.714285714285714
Greater London,8.551724137931034
Greater Manchester,3.1
Hampshire,12.77777777777778
Hertfordshire,16.285714285714285
Lancashire,16.3
Leicestershire,9.0
Merseyside,7.65
Norfolk,20.428571428571427
North Yorkshire,19.0
Nottinghamshire,16.5
South Yorkshire,18.2
Staffordshire,12.5
Swansea (Wales),13.25
Tyne and Wear,13.716666666666667
West Midlands,14.188095238095238
West Yorkshire,16.2
